id,high,med,low
JRA1,1789410405,81728565,53837765
JRA2,1607305478,58102973,44626621
JRA3,1809400618,69324364,51310386
JRB1,1538245819,61446573,43014061
JRB2,1740471433,81861038,48428214
JRB3,1814743551,62360435,49541109
JRC1,1802883293,70770768,51927352
JRC2,1801963726,71599979,53115625
JRC3,1812303431,66573850,49371842
JRD1,1576603916,70668970,44253379
JRD2,1689959253,65753212,49983583
JRD3,1651005499,70983125,51240008
JRE1,1795394636,77072782,51841830
JRE2,1592840050,53097825,43711877
JRF1,1793111036,78606945,50847434
JRF2,1816603766,60512959,47025051
JRG1,1579796784,63166217,45106375
JRG2,1815287895,66570090,49770467
JRH1,1792009569,80127160,51284282
JRH2,1620964766,58947290,44198814
