file,mu,nu,s,nes
largedata/lcache/SFS_comet_blocks_CG_len0_typeI_TE.RData,2.0349207767691e-06,1.9838720926132e-07,1.89619323505989e-05,2.84428985258983
largedata/lcache/SFS_comet_blocks_CG_len1_typeI_TE.RData,3.99476707402099e-06,4.17163617942173e-07,2.14346808834559e-05,3.21520213251839
largedata/lcache/SFS_comet_blocks_CG_len2_typeI_TE.RData,2.80397322962203e-06,3.12081552801831e-07,2.03547060059682e-05,3.05320590089522
largedata/lcache/SFS_comet_blocks_CG_len3_typeI_TE.RData,2.5458593071694e-06,1.10344212884464e-07,2.35498979758857e-05,3.53248469638286
largedata/lcache/SFS_comet_blocks_CG_len4_typeI_TE.RData,1.48801187345756e-06,1.57357773980993e-08,2.20186931000251e-05,3.30280396500376
largedata/lcache/SFS_comet_blocks_CHG_len0_typeI_TE.RData,2.29906716668855e-06,2.57210677032116e-07,1.78017501625339e-05,2.67026252438008
largedata/lcache/SFS_comet_blocks_CHG_len1_typeI_TE.RData,3.21675221054622e-06,5.67000266700092e-07,1.83166319044627e-05,2.74749478566941
largedata/lcache/SFS_comet_blocks_CHG_len2_typeI_TE.RData,3.14103095020806e-06,3.85156927541162e-07,1.98011394694902e-05,2.97017092042354
largedata/lcache/SFS_comet_blocks_CHG_len3_typeI_TE.RData,2.86376925699261e-06,1.87419208888013e-07,2.21691127567162e-05,3.32536691350743
largedata/lcache/SFS_comet_blocks_CHG_len4_typeI_TE.RData,1.47598156317495e-06,7.1055622177109e-08,1.72682944385353e-05,2.5902441657803
