JRIAL2A,JRIAL2B,JRIAL2C,JRIAL2D,JRIAL2E,JRIAL2F,JRIAL2G,JRIAL2H,JRIAL2I,JRIAL2J,JRIAL2K,JRIAL2L,JRIAL2M,JRIAL2N,JRIAL2O,JRIAL2P,JRIAL2Q,JRIAL2R,JRIAL2S,JRIAL2T
A,-3336858,-3069837,-2924839,-3233830,-3182616,-3365741,-2881246,-3067159,-3481657,-2968145,-2929886,-3124096,-3257557,-3200894,-2772193,-3008707,-3321996,-3124491,-3012554,-689806
C,2506709,2302860,2181406,2437264,2394067,2533646,2157194,2307108,2618980,2228003,2194198,2342280,2450220,2401509,2076504,2254507,2496294,2343855,2257214,536002
G,2499614,2300958,2184235,2433328,2391763,2532163,2161206,2308892,2615213,2226027,2197111,2339991,2448529,2400065,2076745,2254557,2495609,2343986,2259951,535864
T,-3341008,-3073737,-2925357,-3239564,-3185152,-3364182,-2877535,-3068134,-3481130,-2972785,-2931764,-3124386,-3258684,-3200407,-2774760,-3012558,-3322259,-3127293,-3011860,-690338
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W,993839,910428,883364,945889,931678,980998,849640,893852,1023613,879974,879941,930650,959425,936560,829456,893824,981551,926278,890614,178484
S,677704,629328,601191,656913,650260,683116,590741,625441,704981,606926,590400,635561,658067,663167,564248,618377,670801,637665,616635,129794
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
