file,cg,chg,chh
largedata/wgbs_smoothed/JRA1_pe.cg,3.21840209732389,3.34012747454226,3.89448499587956
largedata/wgbs_smoothed/JRA2_pe.cg,3.56136949695771,3.69877389500093,4.36837909039292
largedata/wgbs_smoothed/JRA3_pe.cg,3.48131813980111,3.62570315739773,4.27752788894633
largedata/wgbs_smoothed/JRB1_pe.cg,3.67579587432149,3.83357604725788,4.59753493792104
largedata/wgbs_smoothed/JRB2_pe.cg,3.63278108234462,3.81239358763607,4.48825532084346
largedata/wgbs_smoothed/JRB3_pe.cg,3.65788475103736,3.86374884487531,4.51952638336544
largedata/wgbs_smoothed/JRC1_pe.cg,3.59973219741006,3.75460418654183,4.44118816381319
largedata/wgbs_smoothed/JRC2_pe.cg,3.65249504101928,3.81427338164725,4.52709462577492
largedata/wgbs_smoothed/JRC3_pe.cg,3.62813287895291,3.83502363615039,4.49820665235288
largedata/wgbs_smoothed/JRD1_pe.cg,3.43581877070891,3.5712845970462,4.0291373788582
largedata/wgbs_smoothed/JRD2_pe.cg,3.30854127587471,3.43554628113066,4.04485333359604
largedata/wgbs_smoothed/JRD3_pe.cg,3.75112833096314,3.86464776753083,4.18548590448552
largedata/wgbs_smoothed/JRE1_pe.cg,3.55373426995026,3.69775129939848,4.35969417243919
largedata/wgbs_smoothed/JRE2_pe.cg,3.91613382244754,4.086064237101,4.92350550556585
largedata/wgbs_smoothed/JRF1_pe.cg,3.69019601391966,3.87163681309799,4.58818784932679
largedata/wgbs_smoothed/JRF2_pe.cg,3.48857411837269,3.63893289922814,4.31611069513068
largedata/wgbs_smoothed/JRG1_pe.cg,3.43266693380124,3.58616721753172,4.21735232580077
largedata/wgbs_smoothed/JRG2_pe.cg,3.7508734885926,3.89210742387339,4.56149844427649
largedata/wgbs_smoothed/JRH1_pe.cg,3.49467781419018,3.60336026745012,4.08844173174309
largedata/wgbs_smoothed/JRH2_pe.cg,3.67993558027228,3.81727284969992,4.51582788485169
